title,author,length
53. Nightwork,By: Nora Roberts,Length: 16 hrs and 22 mins
54. What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
55. The Lincoln Highway,By: Amor Towles,Length: 16 hrs and 39 mins
56. Meant to Be,By: Emily Giffin,Length: 11 hrs and 31 mins
57. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
58. Savage Son,By: Jack Carr,Length: 12 hrs and 56 mins
59. Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
60. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
61. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
62. The Alchemist,By: Paulo Coelho,Length: 4 hrs
63. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
64. The Maid,By: Nita Prose,Length: 9 hrs and 37 mins
65. The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
"66. I'd Like to Play Alone, Please",By: Tom Segura,Length: 6 hrs and 4 mins
67. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
68. The Devil's Hand,By: Jack Carr,Length: 14 hrs and 37 mins
69. The Guest List,By: Lucy Foley,Length: 10 hrs and 22 mins
70. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
71. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
72. Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins
73. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
74. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
75. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
76. The Night She Went Missing,By: Kristen Bird,Length: 9 hrs and 35 mins
77. A Promised Land,By: Barack Obama,Length: 29 hrs and 10 mins
78. Dare to Lead,By: Brené Brown,Length: 8 hrs and 10 mins
79. People We Meet on Vacation,By: Emily Henry,Length: 10 hrs and 46 mins
80. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
81. Star Wars: Brotherhood,By: Mike Chen,Length: 12 hrs and 46 mins
82. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
83. Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
84. This Time Tomorrow,By: Emma Straub,Length: 8 hrs and 31 mins
85. Beyond Order,By: Jordan B. Peterson,Length: 13 hrs and 11 mins
86. Life Force,"By: Tony Robbins, Peter H. Diamandis, Robert Hariri",Length: 22 hrs and 50 mins
87. Alpha Female Bible,By: Michelle Martin,Length: 15 hrs and 5 mins
88. Dream Town,By: David Baldacci,Length: 11 hrs
89. The War on the West,By: Douglas Murray,Length: 12 hrs and 42 mins
90. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
91. The Office BFFs,"By: Jenna Fischer, Angela Kinsey",Length: 8 hrs and 26 mins
92. The 5AM Club,By: Robin Sharma,Length: 11 hrs and 4 mins
93. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
94. What Happened to the Bennetts,By: Lisa Scottoline,Length: 10 hrs and 15 mins
95. The Stand,By: Stephen King,Length: 47 hrs and 47 mins
96. Defiance of the Fall 5,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 11 mins
97. The Final Empire,By: Brandon Sanderson,Length: 24 hrs and 39 mins
98. The Invisible Life of Addie LaRue,By: V. E. Schwab,Length: 17 hrs and 10 mins
99. Don't Let Me Fall,By: Kelsie Rae,Length: 9 hrs and 4 mins
100. Killing the Killers,"By: Bill O'Reilly, Martin Dugard",Length: 9 hrs and 15 mins
